TITLE,FILE NAME,URL,TYPE OF RESOURCE,FORM,EXTENT,IMPRINT,ISSUANCE,LANGUAGE,MAP DATA,ASSOCIATED WITH,SUBJECT,GENRE,NOTE,RELATED ITEM,STATEMENT OF RESPONSIBILITY,OCLC,ALTERNATIVE TITLE,APPEARS IN,PUBLISHER,LOCATION,LCCN,ADDITIONAL PHYSICAL FORM,MANUFACTURER,ONLINE VERSION,UNIFORM TITLE,CARTOGRAPHER,LITHOGRAPHER,CONTAINS,LOCAL NOTE,ISSUING BODY,REPRODUCTION,DISTRIBUTOR
The Saar : extension under French occupation,db360qf6692,https://purl.stanford.edu/db360qf6692,Cartographic;,map;unmediated;sheet;,1 map : color ; 28 x 38 cm.;,"[Washington, D.C.] : Map Branch, CVIA, [1947];",monographic;,English;,"Scale 1:280,000.;","United States, Central Intelligence Agency., Map Branch.;","World War (1939-1945);1939-1945;World War, 1939-1945 > Territorial questions > Maps;Boundaries;Saarland (Germany) > Boundaries > Maps;Germany (West) > Boundaries > France > Maps;France > Boundaries > Germany (West) > Maps;France;Germany > Saarland;Germany (West);",Map;Government publication;Cartographic image;Maps.;,"""10800 October 1947 (Supersedes Dept. of State 10561.1)."";",Map #10800;,,,,,,,,,,,,,,,,,,
"Austria, zones of occupation",mt762qw3311,https://purl.stanford.edu/mt762qw3311,Cartographic;,map;unmediated;sheet;,"1 map : color ; 22 x 39 cm, on sheet 26 x 46 cm;","[Washington, D.C.] : U.S. Dept. of State, 1946;",monographic;,English;,"Scale 1:1,500,000 ; (E 9°--E 17°/N 49°--N 46°).;","United States, Department of State., Division of Map Intelligence and Cartography.;","World War (1939-1945);1939-1945;Military occupation > Maps;World War, 1939-1945 > Occupied territories > Maps;Military occupation;Politics and government;Austria > History > World War, 1939-1945 > Maps;Vienna (Austria) > History > World War, 1939-1945 > Maps;Austria > Politics and government > World War, 1939-1945 > Maps;Vienna (Austria) > Politics and government > World War, 1939-1945 > Maps;Austria;Austria > Vienna;",Map;Government publication;Cartographic image;History.;Maps;,"""February 1946 (First Revision May 1946)."";""10164."";Includes inset of ""Vienna sectors of occupation."";From: U.S. Department of State Bulletin, vol. 14, no. 355, April 21, 1946.;",,"Department of State, Division of Map Intelligence and Cartography.;",,,,,,,,,,,,,,,,,
Germany: Territorial Changes 1914-1944,wt391bp8780,https://purl.stanford.edu/wt391bp8780,Cartographic;,map;unmediated;sheet;,1 map : color ; 54 x 54 cm;,"[Place of publication not identified] : U.S. Dept. of State, 1946;",monographic;,English;,"Scale 1:2,750,000.;","United States, Department of State.;",Administrative and political divisions;Germany > Administrative and political divisions > Maps;Germany;,Map;Cartographic image;Maps.;,Inset of the Rhineland: 1919-1936.;,,,,,,,,,,,,,,,,,,,
"Germany. Zone of Polish administration. Scale 1 : 2,570,000",ds598qv2934,https://purl.stanford.edu/ds598qv2934,Cartographic;,map;unmediated;,1 map : color ; 33 x 24 cm;,"[Washington, D.C.] : Department of State, Division of Map Intelligence and Cartography, 1946;",monographic;,English;,"Scale 1:2,570,000.;","United States, Department of State. Division of Map Intelligence and Cartography.;",Germany > Administrative and political divisions > Maps and charts > 1946;,Map;Cartographic image;,No. 10440.;,,,,,,,,,,,,,,,,,,,
"Germany, zones of occupation",bj993rv7801,https://purl.stanford.edu/bj993rv7801,Cartographic;,microfilm;map;unmediated;sheet;,1 map : color ; 65 x 80 cm;,"[Washington] : [U.S.] Dept. of State, Division of Map Intelligence and Cartography, 1946;",monographic;,English;,"Scale 1:1,490,000 ; (E 6°--E 22°/N 55°30ʹ--N 47°).;","United States, Department of State., Division of Map Intelligence and Cartography.;",1945-1955;Germany > History > 1945-1955 > Maps;Germany;,Map;Government publication;Cartographic image;History.;Maps;,"Zones of occupation overprinted in red; base map shows: national boundary - 1937, internal boundaries - 1944, pop. key - 1939 census; inset: Greater Berlin, [zones of occupation]; ""10139."";",,,,,,,,,,,,,,,,,,,
Germany : zones of occupation,hr560nc5893,https://purl.stanford.edu/hr560nc5893,Cartographic;,,1 map : color ; 65 x 80 cm;,"District of Columbia, 1946;",monographic;,English;,"Scale 1:500,000.;","United States, Department of State., Division of Map Intelligence and Cartography.;",Germany > History > 1945-1955 > Maps;,Map;Government publication;,Inset: Greater Berlin.;,,,,,,,,,,,,,,,,,,,
[Highway map of the Tokyo region],gm158cc8245,https://purl.stanford.edu/gm158cc8245,Cartographic;,map;unmediated;sheet;,1 map ; 29 x 24 cm;,"[Boonjudo, South Korea] : [Eighth U.S. Army printing plant], 1946;",monographic;,English;,"Scale 1:500,000.;","United States, Army., Engineer Base Topographic Battalion, 64th.;",Roads > Japan > Tokyo Region > Maps;Roads;Tokyo Region (Japan) > Maps;Japan > Tokyo Region;,Map;Government publication;Cartographic image;Maps;Road maps.;Road maps.;,"Shows classified highways (e.g., ""2 lane, hard surfce, 2 lanes gravel surface.."") with route numbers and distances.;Title devised by cataloger.;Includes text on speed limits.;""Office of the engineer, XI coprs. 1 June 1946"".;On verso: [Diagram showing the cities and towns to which numbered highways in Tokyo lead with the distance to each place from central Tokyo] -- [Diagram showing the cities and towns to which numbered highways in Yokohama lead with the distance to each place from central Yokohama].;",,,956382589;,,,,,,,,,,,,,,,,
"Japan, Aichi-ken",cs241wy6535,https://purl.stanford.edu/cs241wy6535,Cartographic;,cartographic material;map;,"1 map : col. ; 30 x 33 cm., on sheet 66 x 44 cm.;","[Washington?] : Dept. of State, Division of Map Intelligence and Cartography/CAHSA, [1946?];",monographic;,English;,"Scale 1:375,000 ; (E 136⁰45ʹ--E 137⁰45ʹ/N 35⁰15ʹ--N 34⁰45ʹ).;","United States, Department of State., Division of Map Intelligence and Cartography.;",Aichi-ken (Japan) > Administrative and political divisions > Maps;,Map;,"""10009 July 1946.;Base from A.M.S. L571, first edition, 1943 1:250,000.;Includes 3 ancillary maps, glossary, reliability table, and list of gun.;",,,,,,,,,,,,,,,,,,,
"Japan, Hiroshima-ken",vg893rq3484,https://purl.stanford.edu/vg893rq3484,Cartographic;,map;,"1 map : col. ; 36 x 40 cm., on sheet 73 x 51 cm.;","[Washington?] : Dept. of State, Division of Map Intelligence and Cartography/CAHSA, [1946?];",monographic;,English;,"Scale 1:375,000 ; (E 132⁰15ʹ--E 133⁰30ʹ/N 35⁰00ʹ--N 34⁰00ʹ).;","United States, Department of State., Division of Map Intelligence and Cartography.;",Hiroshima-ken (Japan) > Administrative and political divisions > Maps;,Map;Government publication;,"""10064 November 1946.;Base from A.M.S. L571, first edition, 1943 1:250,000; boundaries and centers of population revised to November 1943.;Includes ancillary map, glossary, and list of gun.;",,,,,,,,,,,,,,,,,,,
"Japan, Hyogo-ken",wx264qs8747,https://purl.stanford.edu/wx264qs8747,Cartographic;,cartographic material;map;,"1 map : col. ; 49 x 38 cm., on sheet 86 x 49 cm.;","[Washington?] : Dept. of State, Division of Map Intelligence and Cartography/CAHSA, [1946?];",monographic;,English;,"Scale 1:375,000 ; (E 134⁰15ʹ--E 135⁰30ʹ/N 35⁰30ʹ--N 34⁰15ʹ).;","United States, Department of State., Division of Map Intelligence and Cartography.;",Hyōgo-ken (Japan) > Administrative and political divisions > Maps;,Map;,"""10066 November 1946.;Base from A.M.S. L571, first edition, 1943 1:250,000; boundaries and centers of population revised to November 1943.;Includes ancillary map, glossary, and list of gun.;",,,,,,,,,,,,,,,,,,,
"Japan, Mie-ken",xc242kq0310,https://purl.stanford.edu/xc242kq0310,Cartographic;,map;,"1 map : col. ; 49 x 31 cm., on sheet 86 x 43 cm.;","[Washington?] : Dept. of State, Division of Map Intelligence and Cartography/CAHSA, [1946?];",monographic;,English;,"Scale 1:375,000 ; (E 136⁰00ʹ--E 137⁰00ʹ/N 35⁰15ʹ--N 33⁰45ʹ).;","United States, Department of State., Division of Map Intelligence and Cartography.;",Mie-ken (Japan) > Administrative and political divisions > Maps;,Map;,"""10021 July 1946.;Base from A.M.S. L571, first edition, 1943 1:250,000.;Includes 3 ancillary maps, glossary, reliability table, and list of gun.;",,,,,,,,,,,,,,,,,,,
"Japan, Nara-ken",hx261mf7516,https://purl.stanford.edu/hx261mf7516,Cartographic;,map;,"1 map : col. ; 31 x 21 cm., on sheet 56 x 32 cm.;","[Washington?] : Dept. of State, Division of Map Intelligence and Cartography/CAHSA, [1946?];",monographic;,English;,"Scale 1:375,000 ; (E 135⁰30ʹ--E 136⁰15ʹ/N 34⁰45ʹ--N 34⁰00ʹ).;","United States, Department of State., Division of Map Intelligence and Cartography.;",Nara-ken (Japan) > Administrative and political divisions > Maps;,Map;,"""10027 July 1946.;Base from A.M.S. L571, first edition, 1943 1:250,000.;Includes 3 ancillary maps, glossary, reliability table, and list of gun.;",,,,,,,,,,,,,,,,,,,
Japan : Okayama-ken,hd851zq5001,https://purl.stanford.edu/hd851zq5001,Cartographic;,cartographic material;map;,1 map : col. ; 63 x 33 cm.;,"Washington : Reproduction Branch, OSS, 1946;",monographic;,English;,,"United States, Department of State., Division of Map Intelligence and Cartography.;United States, Office of Strategic Services., Reproduction Branch.;",Okayama-ken (Japan) > Maps;,Map;,"Base from A.M.S. L571, 1st ed., 1943, 1:250,000.;Boundaries and centers of population revised to Nov. 1943.;Includes centers of population and list of gun.;Inset: Japan.;Scale 1:375,000.;",,,,,,,,,,,,,,,,,,,
"Japan, Wakayama-ken",fk546zc0893,https://purl.stanford.edu/fk546zc0893,Cartographic;,cartographic material;map;,"1 map : col. ; 32 x 29 cm., on sheet 69 x 40 cm.;","[Washington?] : Dept. of State, Division of Map Intelligence and Cartography/CAHSA, [1946?];",monographic;,English;,"Scale 1:375,000 ; (E 135⁰--E 136⁰/N 34⁰15ʹ--N 33⁰30ʹ).;","United States, Department of State., Division of Map Intelligence and Cartography.;",Wakayama-ken (Japan) > Administrative and political divisions > Maps;,Map;,"""10071 August 1946.;Base from A.M.S. L571, first edition, 1943 1:250,000; boundaries and centers of population revised to November 1943.;Includes ancillary map, glossary, and list of gun.;",,,,,,,,,,,,,,,,,,,
Manchuria : natural availability of water,mw853yj7799,https://purl.stanford.edu/mw853yj7799,Cartographic;,map;unmediated;sheet;,1 map ; 30 x 27 cm;,"[Washington, D.C.] : Department of State, Division of Map Intelligence and Cartography, January 1946;",monographic;,English;,"Scale approximately 1:5,850,000 ; (E 114°--E 135°/N 54°--N 38°).;","United States, Department of State., Division of Map Intelligence and Cartography.;",Water-supply > China > Manchuria > Maps;Water-supply > China > Rehe Sheng > Maps;Water-supply;Manchuria (China) > Maps;Rehe Sheng (China) > Maps;MANCHURIA > Water supply > Maps and charts > 1946;China > Rehe Sheng;China > Manchuria;,Map;Government publication;Cartographic image;Maps;Maps;,"Includes inset location map and data reliability table.;""No. 10128."";",,,,,,,,,,,,,,,,,,,
Manchuria terrain,xx764sn8738,https://purl.stanford.edu/xx764sn8738,Cartographic;,map;unmediated;sheet;,1 map ; 35 x 30 cm;,"[Washington, D.C.] : Department of State, Division of Map Intelligence and Cartography, February 1946;",monographic;,English;,"Scale approximately 1:5,100,000.;","United States, Department of State., Division of Map Intelligence and Cartography.;United States, Army Map Service., Staff Service Model Section.;",Relief models;Relief models;Manchuria (China) > Maps;China > Manchuria;,Map;Government publication;Cartographic image;Topographic maps.;Physical maps.;Physical maps.;Topographic maps.;Maps;,"Relief shown by shading.;""Relief model prepared by Staff Service Model Section, A.M.S."";""10006."";",,"Department of State, Division of Map Intelligence and Cartography.;",,,,,,,,,,,,,,,,,
Northeastern Borneo,ry953cn9468,https://purl.stanford.edu/ry953cn9468,Cartographic;,map;unmediated;sheet;,1 map : lithogr. ; 24 x 18 cm;,"Provisional edition. - [Washington, D.C.] : OSS. Reproduction Branch, 1946;",monographic;,English;,"Scale [ca. 1:4,500,000] ; (E 113°00'--E 119°30'/N 70°30'--S 1°30').;","United States, Office of Strategic Services., Research and Analysis Branch.;",Borneo > Maps;,Map;Cartographic image;,"""No. 7258-R & A, OSS, 4 august 1946"";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Albay,mp872dq7274,https://purl.stanford.edu/mp872dq7274,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,[Washington?] : G.P.O. [1945?];,monographic;,English;,"Scale [ca. 1:215,000] ; (E 123⁰20ʹ--E 123⁰40ʹ/N 13⁰20ʹ--N 13⁰00ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Albay (Philippines) > Maps;,Map;,"No. A 3463--R & A, OSS; 15 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
"Albay : Catanduanes I., sub-province of Albay",zn586yb1576,https://purl.stanford.edu/zn586yb1576,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,"[Washington, D.C.] : U.S. Government Printing Office, 1945;",monographic;,English;,"Scale [ca. 1:270,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Albay (Philippines) > Maps;,Map;,"Shows roads and trails in red.;In lower left margin: No. A 3462--R & A, OSS, 2 February 1945.;In lower right portion of map: Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940.;",,,,,,,,,,,,,,,,,,,
The Aleutian and Pribilof Islands,yc140mj0954,https://purl.stanford.edu/yc140mj0954,Cartographic;,map;unmediated;sheet;,1 map ; 25 x 46 cm;,"Prov. ed. - [Washington, D.C.] : Office of Strategic Services, 1945;",monographic;,English;,"Scale [ca. 1:4,733,000] ; ; Mercator projection (E 173°30ʹ--W 158°15ʹ/N 60°00ʹ--N 51°30ʹ).;","United States, Office of Strategic Services.;",Aleutian Islands (Alaska) > Maps;Pribilof Islands (Alaska) > Maps;Alaska > Aleutian Islands;Alaska > Pribilof Islands;,Map;Government publication;Cartographic image;Maps.;,"""No. 6148-R & A, OSS; 10 February 1945."";178° west and 178° east reversed.;""Free."";Stamp on back: Office of Strategic Services, Map Division, Map Intelligence Section."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Approaches to Japan,zs924cb7981,https://purl.stanford.edu/zs924cb7981,Cartographic;,cartographic material;map;unmediated;sheet;,1 map : color ; 55 x 47 cm;,"21 Mar. 1945. - [Washington] : [Reproduction Branch, Office of Strategic Services], 1945;",monographic;,English;,"Scale [ca. 1:7,000,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Japan > Maps;East Asia > Maps;East Asia;Japan;,Map;Cartographic image-cri;Maps;,"""Provisional edition."";""No. 5581--R & A, OSS."";Also covers adjoining portions of the U.S.S.R., China and the Philippines.;",,,,,,,,,,,,,,,,,,,
Area covered by selected sheets : [Java],wy126sb0057,https://purl.stanford.edu/wy126sb0057,Cartographic;,,1 map : col. ; 20 x 30 cm.;,"Provisional ed. - [Washington, D.C.] : R & A, OSS, 1945;",monographic;,English;,,"United States, Office of Strategic Services., Research and Analysis Branch.;",Cartography > Indonesia > Java > Maps;Java (Indonesia) > Maps;,Map;,"Shows the map coverage of Java at four different scales.;Scale [ca. 1:3,801,600].;Compiled by the Office of Strategic Services.;",[Map] ; no. 7197;,,,,,,,,,,,,,,,,,,
"Argentina, physical regions",wv427nf0656,https://purl.stanford.edu/wv427nf0656,Cartographic;,map;unmediated;sheet;,1 map : color ; 65 x 39 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch OSS, 1945;",monographic;,English;,"Scale [ca. 1:6,000,000] ; (W 74°--W 52°/S 21°--S 56°).;","United States, Office of Strategic Services.;",Argentina > Maps;Argentina;,Map;Government publication;Cartographic image;Physical maps.;Maps.;Physical maps.;,"""No. 3854."";""Free."";""Reliability code: 2B-2B-2."";",,,,Physical regions;,,,,,,,,,,,,,,,
Argentina roads,nz713bk9971,https://purl.stanford.edu/nz713bk9971,Cartographic;,cartographic material;map;unmediated;sheet;,1 map ; color ; 70 x 36;,"[Washington, D.C.] : Reproduction Branch OSS, 1945;",monographic;,English;,"Scale [ca. 1:5,500,000].;","United States, Office of Strategic Services.;",Roads > Argentina > Maps;Roads;Argentina > Maps;Argentina;,Map;Cartographic image-cri;Maps;,"""No. 3451."";Provisional ed.;",,,,,,,,,,,,,,,,,,,
"Argentina, vegetation and natural resources",mj383yh7886,https://purl.stanford.edu/mj383yh7886,Cartographic;,map;unmediated;sheet;,1 map : color ; 57 x 31 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch OSS, 1945;",monographic;,English;,"Scale [ca. 1:6,600,000] ; (W 74°--W 54°/S 21°--S 56°).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Vegetation and climate > Argentina > Maps;Mines and mineral resources > Argentina > Maps;Mines and mineral resources;Vegetation and climate;Argentina > Maps;Argentina;,Map;Government publication;Cartographic image;Thematic maps.;Maps.;Thematic maps.;,"""No. 5539."";""Free."";""Reliability code: 00-2B-2."";",,,,Vegetation and natural resources;,OKS Print;,,,,,,,,,,,,,,
Austria : administrative divisions - 1944,jz149dj1492,https://purl.stanford.edu/jz149dj1492,Cartographic;,map;unmediated;sheet;,1 map : color ; 27 x 40 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:1,600,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Administrative and political divisions;Austria > Administrative and political divisions > Maps;Austria;,Map;Cartographic image-cri;Maps.;,"Shows Reichsgau and Kreis or Stadkreis boundaries.;Inset map: Austria: major administrative divisions, pre-1937.;""No. 5956."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Austria : international transportation and communication network,yk531vk6020,https://purl.stanford.edu/yk531vk6020,Cartographic;,cartographic material;map;,1 map : col. ; 43 x 68 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:1,300,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Transportation > Austria > Maps;Telecommunication > Austria > Maps;Electric power transmission > Austria > Maps;Electric power transmission;Telecommunication;Transportation;Austria > Maps;Austria;,Map;Maps;,"""Data as of 1938 with some additions to 1944."";""No. 5394--R & A, OSS 4 January 1945."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
"The Balkans Albania, Bulgaria, Greece and Yugoslavia",sz792rc4949,https://purl.stanford.edu/sz792rc4949,Cartographic;,map;unmediated;sheet;,1 map : color. ; 33x50 cm;,"[S.l.] : Reproduction Branch, SSU, 1945;",monographic;,English;,"Scale approximately 1:3,350,000.;",,1901-2000;1918-1939;Balkan Peninsula > Maps;,Map;Cartographic image;,"NO 3374-R & A, IRIS, 10 December 1945; - Lithographed in the Reproduction Branch, SSU.;",,SSU.;,,,,"United States, War Department., Strategic Services Unit., Reproduction Branch.;",electronic resource;,,,,,,,,,,,,
Base map of China,wm602jm6114,https://purl.stanford.edu/wm602jm6114,Cartographic;,map;,1 map on 4 sheets ; sheets 66 x 102 cm.;,"Provisional ed. - [Washington, D.C : OSS], 1945;",monographic;,English;,"Scale [ca. 1:4,200,000] ; ; Conical orthomorphic proj. with two standard parallels 27⁰ and 63⁰ north latitude.;","United States, Office of Strategic Services., Research and Analysis Branch.;","China > Maps, Outline and base;",Map;,"""No. 8166-R.&A."";",,,,,,,,,,,,,,,,,,,
Bataan,kt647wb7781,https://purl.stanford.edu/kt647wb7781,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,"[Washington?] : Reproduction Branch, OSS, [1945?];",monographic;,English;,"Scale [ca. 1:156,000] ; (E 120°08'00""--E 120°45'00""/N 14°55'00""--N 14°17'00"");","United States, Office of Strategic Services., Research and Analysis Branch.;",Bataan (Philippines : Province) > Maps;,Map;Government publication;,"No. A 3464--R & A, OSS; 1 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,electronic resource;,,,,,,,,,,,,
Batanes,dy749wc1596,https://purl.stanford.edu/dy749wc1596,Cartographic;,map;,1 map ; 48 x 37.;,"[Washington, D.C.?] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:253,440] ; (E 121⁰40ʹ00ʺ--E 122⁰20ʹ00ʺ/N 021⁰00ʹ00ʺ--N 020⁰20ʹ00ʺ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Roads > Philippines > Batanes > Maps;Batanes (Philippines) > Maps;,Map;,"""No. A, 3465--R & A, OSS."";""15 Feb. 1945."";",,,,,,,,,,,,,,,,,,,
Batangas,sx262mc7274,https://purl.stanford.edu/sx262mc7274,Cartographic;,map;,1 map ; 49 x 38 cm.;,"[Washington, D.C.?] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:253,440] ; (E 120⁰40ʹ00ʺ--E 120⁰20ʹ00ʺ/N 14⁰20ʹ00ʺ--N 13⁰20ʹ00ʺ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Roads > Philippines > Batangas (Province) > Maps;,Map;,"""No. A, 3446--R & A, OSS."";""2 Feb. 1945."";",,,,,,,,,,,,,,,,,,,
Bavarian precision leveling 1868-1890,vd505dp2733,https://purl.stanford.edu/vd505dp2733,Cartographic;,map;,1 map : 42 x 40 cm.;,"[Washington, D.C.] : R & A, OSS, 1945;",monographic;,English;,"Scale [ca. 1:900,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Surveying > Germany > Bavaria > Maps;Leveling > Germany > Bavaria > Maps;Bavaria (Germany) > Maps;,Map;,"""No. A-7125-R & A, OSS."";",,,,,,,,,,,,,,,,,,,
"Berlin, district boundaries, 27 March 1938",fv722hs1748,https://purl.stanford.edu/fv722hs1748,Cartographic;,map;,1 map : col. ; 28 x 40 cm.;,"Provisional ed. - [Washington, D.C.] : lithographed in the Reproduction Branch, 1945;",monographic;,English;,"Scale [ca. 1:135,000] ; (E 13°05'00""--E 13°45'00""/N 52°40'00""--N 52°20'00"");","United States, Office of Strategic Services., Research and Analysis Branch.;",Berlin (Germany) > Administrative and political divisions > Maps;,Map;Government publication;,"""No. 6326, R & A, OSS."";",,,,,,,electronic resource;,,,,,,,,,,,,
"Bolivia, Roads",hc484ww2280,https://purl.stanford.edu/hc484ww2280,Cartographic;,map;,1 map : col. ; 38 x 33 cm.;,"Provisional ed. - [Washington, D.C.] : lithographed in the Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:4,100,000];","United States, Office of Strategic Services.;",Roads > Bolivia > Maps;,Map;,"""No. 5501."";""Reliability code: 00-2B-2."";""Road data as of June, 1944."";",,,,Bolivia [map];Roads [map];,,,,,,,,,,,,,,,
"Borneo, administrative divisions",jp908sx8371,https://purl.stanford.edu/jp908sx8371,Cartographic;,map;unmediated;sheet;,1 map : color ; 30 x 26 cm;,"Provisional ed. - [Washington, D.C.?] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:5,200,000] ; (E 108°--E 120°/N 8°--S 6°).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Administrative and political divisions;Borneo > Administrative and political divisions > Maps;Borneo;,Map;Government publication;Cartographic image;Maps.;,"Includes location map, and, a table of Reliability of data.;""No. 6236."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
